PPG GREEN,time
2073852.0,1637402049.127
2074620.0,1637402049.168
2075585.0,1637402049.208
2076809.0,1637402049.247
2078261.0,1637402049.289
2080544.0,1637402049.328
2083279.0,1637402049.368
2086446.0,1637402049.409
2089646.0,1637402049.448
2092662.0,1637402049.488
2094095.0,1637402049.529
2094940.0,1637402049.568
2100111.0,1637402049.609
2106465.0,1637402049.649
2114848.0,1637402049.688
2119599.0,1637402049.729
2119515.0,1637402049.771
2118962.0,1637402049.81
2124886.0,1637402049.85
2135264.0,1637402049.89
2139481.0,1637402049.929
2139761.0,1637402049.969
2137231.0,1637402050.011
2132868.0,1637402050.049
2129905.0,1637402050.09
2127526.0,1637402050.131
2124942.0,1637402050.17
2122695.0,1637402050.211
2120246.0,1637402050.25
2117914.0,1637402050.289
2118028.0,1637402050.329
2119073.0,1637402050.371
2119603.0,1637402050.404
2119969.0,1637402050.444
2120994.0,1637402050.485
2120665.0,1637402050.524
2118405.0,1637402050.564
2115497.0,1637402050.606
2113878.0,1637402050.644
2112858.0,1637402050.684
2112586.0,1637402050.725
2112544.0,1637402050.764
2112849.0,1637402050.805
2112877.0,1637402050.846
2112455.0,1637402050.885
2113000.0,1637402050.925
2113954.0,1637402050.966
2114677.0,1637402051.005
2115398.0,1637402051.045
2116976.0,1637402051.086
2118043.0,1637402051.126
2119341.0,1637402051.167
2119900.0,1637402051.209
2120956.0,1637402051.247
2122187.0,1637402051.288
2122924.0,1637402051.329
2124336.0,1637402051.369
2125609.0,1637402051.409
2127892.0,1637402051.45
2128625.0,1637402051.489
2128993.0,1637402051.53
2129402.0,1637402051.571
2134884.0,1637402051.61
2145332.0,1637402051.646
2160061.0,1637402051.687
2172794.0,1637402051.726
2183473.0,1637402051.766
2190792.0,1637402051.808
2193110.0,1637402051.847
2192521.0,1637402051.887
2197684.0,1637402051.928
2201990.0,1637402051.967
2202130.0,1637402052.008
2204175.0,1637402052.048
2205136.0,1637402052.087
2201813.0,1637402052.127
2198579.0,1637402052.168
2196840.0,1637402052.208
2198685.0,1637402052.247
2200170.0,1637402052.288
2199677.0,1637402052.328
2196184.0,1637402052.369
2192129.0,1637402052.411
2190315.0,1637402052.449
2187731.0,1637402052.489
2185592.0,1637402052.531
2184049.0,1637402052.57
2182595.0,1637402052.611
2181085.0,1637402052.652
2179472.0,1637402052.691
2177404.0,1637402052.73
2176421.0,1637402052.766
2175772.0,1637402052.807
2174975.0,1637402052.846
2175061.0,1637402052.887
2174540.0,1637402052.926
2173832.0,1637402052.966
2173222.0,1637402053.008
2173041.0,1637402053.046
2172347.0,1637402053.086
2171879.0,1637402053.127
2171447.0,1637402053.166
2170453.0,1637402053.207
2167970.0,1637402053.247
2165082.0,1637402053.286
2162627.0,1637402053.326
2160105.0,1637402053.367
2158826.0,1637402053.407
2157623.0,1637402053.447
2157005.0,1637402053.489
2156894.0,1637402053.532
2156635.0,1637402053.572
2158135.0,1637402053.614
2164133.0,1637402053.653
2166041.0,1637402053.692
2163283.0,1637402053.731
2163680.0,1637402053.77
2163626.0,1637402053.811
2163581.0,1637402053.851
2163276.0,1637402053.886
2161661.0,1637402053.926
2159080.0,1637402053.967
2159237.0,1637402054.007
2170557.0,1637402054.046
2176035.0,1637402054.087
2175887.0,1637402054.126
2174559.0,1637402054.166
2175899.0,1637402054.208
2176090.0,1637402054.247
2174869.0,1637402054.287
2174208.0,1637402054.328
2172041.0,1637402054.367
2168710.0,1637402054.408
2166218.0,1637402054.448
2164092.0,1637402054.487
2163089.0,1637402054.527
2162765.0,1637402054.568
2162755.0,1637402054.606
2163068.0,1637402054.644
2163798.0,1637402054.685
2164427.0,1637402054.721
2164968.0,1637402054.754
2166127.0,1637402054.796
2166708.0,1637402054.832
2167084.0,1637402054.87
2167735.0,1637402054.911
2168536.0,1637402054.95
2168942.0,1637402054.994
2169158.0,1637402055.034
2170071.0,1637402055.073
2169297.0,1637402055.113
2167232.0,1637402055.155
2164857.0,1637402055.194
2162604.0,1637402055.234
2160029.0,1637402055.275
2158836.0,1637402055.314
2157562.0,1637402055.354
2156885.0,1637402055.396
2156029.0,1637402055.434
2155392.0,1637402055.474
2155251.0,1637402055.515
2155225.0,1637402055.554
2155058.0,1637402055.595
2155077.0,1637402055.635
2155626.0,1637402055.673
2156922.0,1637402055.71
2159265.0,1637402055.751
2162856.0,1637402055.791
2169406.0,1637402055.831
2175933.0,1637402055.872
2180987.0,1637402055.911
2185118.0,1637402055.952
2190710.0,1637402055.994
2195129.0,1637402056.03
2197837.0,1637402056.07
2200185.0,1637402056.112
2200185.0,1637402056.143
2199320.0,1637402056.184
2195426.0,1637402056.225
2195862.0,1637402056.264
2206316.0,1637402056.304
2212965.0,1637402056.345
2212391.0,1637402056.385
2209381.0,1637402056.424
2207553.0,1637402056.465
2203353.0,1637402056.504
2198085.0,1637402056.544
2193981.0,1637402056.586
2191059.0,1637402056.624
2190182.0,1637402056.664
2188781.0,1637402056.706
2187855.0,1637402056.745
2187674.0,1637402056.785
2186922.0,1637402056.827
2187620.0,1637402056.863
2188065.0,1637402056.904
2187769.0,1637402056.939
2187550.0,1637402056.974
2186317.0,1637402057.012
2184207.0,1637402057.053
2181545.0,1637402057.092
2177377.0,1637402057.133
2173160.0,1637402057.174
2169118.0,1637402057.213
2165801.0,1637402057.244
2162634.0,1637402057.286
2159479.0,1637402057.325
2157493.0,1637402057.365
2155703.0,1637402057.406
2153936.0,1637402057.445
2152432.0,1637402057.485
2150916.0,1637402057.526
2149566.0,1637402057.566
2149271.0,1637402057.605
2148498.0,1637402057.646
2148147.0,1637402057.685
2147851.0,1637402057.725
2147368.0,1637402057.767
2146863.0,1637402057.805
2146662.0,1637402057.845
2146511.0,1637402057.887
2146679.0,1637402057.926
2146890.0,1637402057.966
2147750.0,1637402058.007
2148128.0,1637402058.046
2147216.0,1637402058.086
2150439.0,1637402058.127
2154910.0,1637402058.16
2158697.0,1637402058.2
2161304.0,1637402058.235
2164383.0,1637402058.271
2169044.0,1637402058.311
2172331.0,1637402058.353
2172944.0,1637402058.392
2172944.0,1637402058.428
2172621.0,1637402058.469
2170955.0,1637402058.508
2173629.0,1637402058.549
2186013.0,1637402058.589
2192097.0,1637402058.628
2193822.0,1637402058.668
2194527.0,1637402058.709
2197666.0,1637402058.749
2199023.0,1637402058.789
2201296.0,1637402058.83
2201170.0,1637402058.869
2198332.0,1637402058.909
2207101.0,1637402058.951
2213753.0,1637402058.989
2215059.0,1637402059.029
2214268.0,1637402059.07
2214454.0,1637402059.109
2214228.0,1637402059.15
2213310.0,1637402059.19
